Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,28.282896041870117,28.49662014946118,27.588289295137315,27.588289295137315,212976
2002-08-13,27.899965286254883,28.772675727755434,27.695146958508754,28.318510394873904,153576
2002-08-14,25.976449966430664,27.962306987049963,25.45104138714052,27.962306987049963,822776
2002-08-15,25.976449966430664,25.976449966430668,25.976449966430668,25.976449966430668,0
2002-08-16,25.914108276367188,27.07178321654854,25.468848683989744,25.842867828646348,811856
2002-08-19,25.272933959960938,26.12783294059924,25.032495405113533,26.12783294059924,205880
2002-08-20,25.976449966430664,27.58828778105517,25.28184325781881,25.45104138714052,3773624
2002-08-21,27.249895095825195,27.92669041951288,26.020979345230206,27.410187509329,3011064
2002-08-22,28.425378799438477,29.618674187443297,28.006833616989688,28.149317256822215,6732480
2002-08-23,30.13518524169922,31.079136640203973,28.327431389515414,28.67473351904206,4841672
2002-08-26,30.028297424316406,30.8119529439235,29.787856242030088,30.616037705197765,2576912
2002-08-27,29.280275344848633,31.524385209536412,29.030931012171948,30.27765811085418,3694224
2002-08-28,29.306982040405273,29.63647245338486,28.70142746487926,29.19121293504886,1674960
2002-08-29,29.306982040405273,29.83238772851207,29.03092059550727,29.128878233070875,1236544
2002-08-30,31.38189697265625,32.1477440503495,29.387134450457992,29.396040186245507,3762384
2002-09-02,31.702486038208008,32.753297690617046,31.381898557213155,31.880589892355246,2389568
2002-09-03,30.21531105041504,32.014160664373904,29.921440843476027,31.88058280346553,986784
2002-09-04,30.874292373657227,31.16816253334091,29.485082300070125,29.832384139054874,1449856
2002-09-05,30.687278747558594,31.960719559273773,30.277639551276483,31.818236006091162,1061360
2002-09-06,29.547422409057617,30.811960607765226,29.217931975344086,30.811960607765226,907472
2002-09-09,29.164505004882812,30.411231936389253,28.14040788257395,28.14040788257395,880848
2002-09-10,29.164505004882812,29.164505004882812,29.164505004882812,29.164505004882812,0
2002-09-11,29.903629302978516,30.420131994503368,29.32479190710226,29.32479190710226,635936
2002-09-12,30.055025100708008,30.79415500131022,29.85020675745172,30.268749180116554,781968
2002-09-13,29.200122833251953,30.081736261756774,28.95077855448352,29.00421024783356,338264
2002-09-16,28.630197525024414,29.636483318315424,28.407567684238845,29.476190920009582,288592
2002-09-17,29.46728515625,29.65429476587096,29.04874268654057,29.146697642278266,462952
2002-09-18,28.55894660949707,29.387128227017275,28.318505382398467,29.298076323299043,315432
2002-09-19,28.31852149963379,29.26247275981824,27.96231368202833,28.31852149963379,490848
2002-09-20,27.855438232421875,28.26507758947342,27.1875488625494,27.30331798391658,501072
2002-09-23,27.38347053527832,28.12260052282931,27.267704104627974,28.05136006052901,248504
2002-09-24,26.457326889038086,27.285508686573657,26.163453912302,27.285508686573657,267912
2002-09-25,26.66214370727539,26.893679237619104,25.646952385544047,25.84286769221539,379544
2002-09-26,27.080690383911133,27.508138528136726,26.893680801694053,27.214268268687757,178136
2002-09-27,27.410186767578125,27.784206012498526,26.991644269133456,26.991644269133456,206288
2002-09-30,26.412799835205078,27.410179701806438,25.84286809462588,26.991637311253253,202232
2002-10-01,26.190176010131836,26.893685790254278,25.736010574117504,26.537478031442962,240192
